station_id,name,province,lat,lon,dataset_version,zip_member
3056214,WATERTON PARK GATE,AB,49.13113333,-113.8086139,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_305_AB_3056214_WATERTON_PARK_GATE.txt
3062246,EDSON CLIMATE,AB,53.58027972,-116.4533353,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_306_AB_3062246_EDSON_CLIMATE.txt
3062696,FORT MCMURRAY CS,AB,56.65111111,-111.2133333,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_306_AB_3062696_FORT_MCMURRAY_CS.txt
3063686,LAC LA BICHE CLIMATE,AB,54.76888889,-112.0236111,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_306_AB_3063686_LAC_LA_BICHE_CLIMATE.txt
3064528,MILDRED LAKE,AB,57.04111111,-111.5588889,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_306_AB_3064528_MILDRED_LAKE.txt
3065997,SLAVE LAKE RCS,AB,55.29305556,-114.7772222,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_306_AB_3065997_SLAVE_LAKE_RCS.txt
3067372,WHITECOURT A,AB,54.14388889,-115.7866667,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_306_AB_3067372_WHITECOURT_A.txt
3070600,BEAVERLODGE RCS,AB,55.19666722,-119.3964139,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_307_AB_3070600_BEAVERLODGE_RCS.txt
3072659,FORT CHIPEWYAN RCS,AB,58.76722222,-111.1172222,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_307_AB_3072659_FORT_CHIPEWYAN_RCS.txt
3072723,FORT VERMILION,AB,58.38230556,-116.0401667,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_307_AB_3072723_FORT_VERMILION.txt
3072920,GRANDE PRAIRIE A,AB,55.17972222,-118.885,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_307_AB_3072920_GRANDE_PRAIRIE_A.txt
3073146,HIGH LEVEL A,AB,58.62138889,-117.1647222,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_307_AB_3073146_HIGH_LEVEL_A.txt
3075040,PEACE RIVER A,AB,56.22694444,-117.4472222,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_307_AB_3075040_PEACE_RIVER_A.txt
3077246,WATINO,AB,55.71666667,-117.6333333,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_307_AB_3077246_WATINO.txt
307KPFP,GARDEN RIVER,AB,58.71083333,-113.8664722,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_307_AB_307KPFP_GARDEN_RIVER.txt
3081680,COLD LAKE A,AB,54.41666667,-110.2833333,v3.20,IDF_v-3.20_2021_03_26_AB/idf_v-3.20_2021_03_26_308_AB_3081680_COLD_LAKE_A.txt
1012055,LAKE COWICHAN,BC,48.82944444,-124.0522222,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1012055_LAKE_COWICHAN.txt
1013754,JORDAN RIVER DIVERSION,BC,48.5,-124.0,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1013754_JORDAN_RIVER_DIVERSION.txt
1013755,JORDAN RIVER GENERATING,BC,48.41666667,-124.05,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1013755_JORDAN_RIVER_GENERATING.txt
1015628,NORTH COWICHAN,BC,48.82416667,-123.7183333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1015628_NORTH_COWICHAN.txt
1016335,PORT RENFREW,BC,48.5916675,-124.3263889,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1016335_PORT_RENFREW.txt
1016941,SAANICH CAMOSUN COLLEGE,BC,48.5,-123.4166667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1016941_SAANICH_CAMOSUN_COLLEGE.txt
1017099,SATURNA CAPMON CS,BC,48.77502222,-123.1280778,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1017099_SATURNA_CAPMON_CS.txt
1018598,VICTORIA UNIVERSITY CS,BC,48.457,-123.3046111,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1018598_VICTORIA_UNIVERSITY_CS.txt
1018611,VICTORIA GONZALES CS,BC,48.41330444,-123.3247756,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1018611_VICTORIA_GONZALES_CS.txt
1018621,VICTORIA INTL A,BC,48.64722222,-123.4258333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1018621_VICTORIA_INTL_A.txt
1018642,VICTORIA MARINE,BC,48.36666667,-123.75,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_101_BC_1018642_VICTORIA_MARINE.txt
1021261,CAMPBELL RIVER A,BC,49.95194444,-125.2730556,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1021261_CAMPBELL_RIVER_A.txt
1021265,CAMPBELL RIVER STP,BC,50.01666667,-125.2333333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1021265_CAMPBELL_RIVER_STP.txt
1021830,COMOX A,BC,49.71666667,-124.9,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1021830_COMOX_A.txt
1021990,COURTENAY PUNTLEDGE BCHP,BC,49.68333333,-125.0333333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1021990_COURTENAY_PUNTLEDGE_BCHP.txt
1025369,NANAIMO A,BC,49.05444444,-123.87,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1025369_NANAIMO_A.txt
10253G0,NANAIMO CITY YARD,BC,49.19914778,-123.9878506,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_10253G0_NANAIMO_CITY_YARD.txt
1025C70,NANAIMO DEPARTURE BAY,BC,49.21666667,-123.95,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1025C70_NANAIMO_DEPARTURE_BAY.txt
1026270,PORT HARDY A,BC,50.68027778,-127.3661111,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1026270_PORT_HARDY_A.txt
1026562,QUALICUM BEACH AIRPORT,BC,49.33722222,-124.3938889,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1026562_QUALICUM_BEACH_AIRPORT.txt
1027775,STRATHCONA DAM,BC,50.0,-125.5833333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_102_BC_1027775_STRATHCONA_DAM.txt
